Player,Age,Position,Team,Matches,Minutes,Goals,Assists,xG,xAG,Shots,Shots_on_Target
Keito Nakamura,24,"FW,MF",Reims,32,2649,11,2,9.1,2.9,84,32
Sebastian Nanasi,22,"MF,FW",Strasbourg,31,2107,6,4,6.5,4.9,28,12
Yael Nandjou,19,DF,Nice,3,154,0,0,0.2,0.7,1,0
Nikolas Nartey,24,MF,Stuttgart,1,22,0,0,0,0,0,0
Matija Nastasić,31,DF,Leganés,26,2110,1,0,0.1,0.1,2,1
Natan,23,DF,Betis,31,2175,1,1,0.3,0.6,9,4
Pau Navarro,19,DF,Villarreal,17,916,0,0,0,0,1,0
Roberto Navarro,22,"MF,FW",Mallorca,23,1278,1,0,2,1.9,18,6
Jesús Navas,38,"FW,MF",Sevilla,15,424,1,0,0.5,0.5,3,2
Michel Ndary Adopo,24,MF,Cagliari,35,2409,1,1,1.1,2.3,20,4
Youssouf Ndayishimiye,25,DF,Nice,23,1932,3,0,0.9,0.2,11,4
Iliman Ndiaye,24,FW,Everton,33,2430,9,0,6.2,1.9,35,15
Junior Ndiaye,19,FW,Montpellier,15,441,0,0,0.5,0.4,5,2
Rassoul Ndiaye,22,MF,Le Havre,27,1061,1,0,1.7,0.6,18,5
Wilfred Ndidi,27,MF,Leicester City,28,2324,0,5,2,1.9,22,8
Wilfried Ndollo,19,DF,Montpellier,8,401,0,0,0,0,0,0
Tanguy Ndombele,27,MF,Nice,18,1131,1,2,2.4,2.4,11,2
Cher Ndour,20,"MF,DF",Fiorentina,9,406,0,0,0.1,0,4,0
Dan Ndoye,23,FW,Bologna,30,2143,8,4,7,3.8,50,17
Paul Nebel,21,MF,Mainz 05,31,2345,10,4,5.8,4.1,44,18
Kosta Nedeljković,18,DF,Aston Villa,5,126,0,0,0,0,0,0
Kosta Nedeljković,18,DF,RB Leipzig,10,479,0,0,0.5,0.3,4,0
Loïc Nego,33,"DF,FW",Le Havre,31,2459,0,0,0.8,0.7,11,2
Ivan Nekić,23,DF,Holstein Kiel,1,71,0,0,0,0,0,0
Reiss Nelson,24,FW,Arsenal,1,3,0,0,0,0,0,0
Reiss Nelson,24,FW,Fulham,11,487,1,1,1.1,1,12,6
Victor Nelsson,25,DF,Roma,4,187,0,0,0,0,1,0
David Nemeth,23,DF,St. Pauli,24,2137,0,1,0.2,0.1,5,1
David Neres,27,FW,Napoli,28,1283,2,4,2.7,3.5,29,7
Neto,35,GK,Bournemouth,2,180,0,0,0,0,0,0
Pedro Neto,24,FW,Chelsea,35,2269,4,6,3.5,6.7,59,17
Luca Netz,21,DF,Gladbach,24,969,0,2,0.2,1.9,3,0
Manuel Neuer,38,GK,Bayern Munich,22,1980,0,0,0,0.5,0,0
Florian Neuhaus,27,MF,Gladbach,18,382,0,1,0.6,0.3,9,3
João Neves,19,"MF,DF",Paris S-G,29,1844,3,8,3,4,28,11
Yvan Neyou,27,MF,Leganés,30,2312,1,1,0.6,0.6,16,3
Cyril Ngonge,24,FW,Napoli,18,216,0,0,0.7,0.4,13,6
Mikayil Ngor Faye,20,DF,Rennes,11,688,0,0,0.4,0,6,3
Steve Ngoura,19,FW,Le Havre,8,289,0,0,1.3,0.4,10,2
Bernard Nguene,17,FW,Nice,1,13,0,0,0,0,0,0
Moussa Niakhate,28,DF,Lyon,31,2726,0,0,0.1,1,2,1
Abdoulaye Niakhate Ndiaye,22,DF,Brest,22,1707,1,0,1,0,11,2
Ibrahima Niane,25,FW,Angers,24,943,3,1,5.7,1,29,10
Tanguy Nianzou,22,DF,Sevilla,6,518,0,0,0.2,0,2,0
Rasmus Nicolaisen,27,DF,Toulouse,7,623,0,1,0.4,0.2,5,0
Moritz Nicolas,26,GK,Gladbach,19,1639,0,0,0,0,0,0
Hans Nicolussi Caviglia,24,MF,Venezia,35,2861,4,2,2.4,2.1,53,20
Julian Niehues,23,MF,Heidenheim,8,154,0,0,0.2,0.1,2,1
Oliver Nielsen,21,DF,Lazio,2,35,0,0,0,0,0,0
Saúl Ñíguez,29,MF,Sevilla,24,1553,1,6,2.8,2.5,42,9
Eybi Nije,19,"FW,MF",Torino,16,394,1,0,1.5,0.4,9,5
Tamás Nikitscher,24,"MF,DF",Valladolid,13,858,0,0,0.1,0,2,1
Adrian Niño,20,FW,Atlético Madrid,1,12,0,0,0.2,0,2,0
Justin Njinmah,23,"FW,MF",Werder Bremen,26,952,3,2,3.7,1.6,31,8
Eddie Nketiah,25,"FW,MF",Crystal Palace,29,1034,3,1,5.8,1.7,43,16
Niels Nkounkou,23,"DF,MF",Eint Frankfurt,12,382,0,0,0.2,1.3,4,0
Christopher Nkunku,26,FW,Chelsea,27,921,3,2,4.8,2.1,25,11
Felix Nmecha,23,MF,Dortmund,26,1509,4,1,1.3,1.1,18,6
Lukas Nmecha,25,"FW,MF",Wolfsburg,19,467,3,0,4.5,0.3,20,9
Arnaud Nordin,26,FW,Montpellier,16,1166,4,1,4.1,0.9,26,11
Arnaud Nordin,26,"DF,MF",Mainz 05,6,80,0,0,0,0.5,1,0
Brooke Norton-Cuffy,20,"DF,FW",Genoa,14,719,0,0,0.3,0.2,5,2
Tijjani Noslin,25,"FW,MF",Lazio,30,861,2,2,2,1.6,19,6
Hugo Novoa,21,"DF,MF",Alavés,5,237,0,0,0.5,0.2,1,0
Plamedi Nsingi,23,MF,Nantes,1,16,0,0,0.2,0,1,1
Randy Nteka,26,FW,Rayo Vallecano,24,1129,3,0,2.6,0.5,16,8
Ernest Nuamah,20,"FW,MF",Lyon,23,1052,3,1,2.2,1.5,28,13
Alexander Nübel,27,GK,Stuttgart,34,3060,0,1,0,0.3,0,0
Gustavo Nunes,18,"FW,MF",Brentford,3,12,0,0,0,0,0,0
Matheus Nunes,25,"DF,MF",Manchester City,26,1674,1,6,1.2,4.4,9,4
Darwin Núñez,25,FW,Liverpool,30,1133,5,2,5.8,1.3,34,13
Unai Núñez,27,DF,Athletic Club,10,645,0,0,0.2,0.1,1,0
Antonio Nusa,19,"MF,DF",RB Leipzig,25,1558,3,3,1.6,2.8,24,7
Ethan Nwaneri,17,"FW,MF",Arsenal,26,895,4,2,1.2,1.2,24,9
Ørjan Nyland,33,GK,Sevilla,30,2673,0,0,0,0.3,0,0
Allan Nyom,36,"DF,MF",Getafe,20,887,1,2,0.5,0.3,9,4
Rabby Nzingoula,18,MF,Montpellier,27,1689,1,0,1,1.6,19,6
M'Bala Nzola,27,FW,Lens,21,1460,6,1,8.6,1.3,47,18
Marwann Nzuzi,20,DF,Saint-Étienne,2,125,0,0,0,0.1,2,1
Christian Nørgaard,30,MF,Brentford,34,2819,5,4,4.3,1.3,39,15
Jake O'Brien,23,DF,Everton,20,1571,2,0,0.8,0.6,6,3
Matt O'Riley,23,MF,Brighton,21,938,2,2,2.8,2.4,21,6
Dara O'Shea,25,DF,Ipswich Town,35,3122,0,2,1.3,0.5,22,2
Adam Obert,21,DF,Cagliari,21,1077,1,1,0.9,0.4,9,2
Chidozie Obi-Martin,16,FW,Manchester Utd,7,165,0,0,0.7,0,5,1
Jan Oblak,31,GK,Atlético Madrid,36,3240,0,0,0,0,0,0
Lucas Ocampos,30,FW,Sevilla,2,175,0,1,0.2,0.3,4,2
Jens Odgaard,25,"MF,FW",Bologna,29,1952,6,1,3.6,1.8,49,22
Wilson Odobert,19,"FW,MF",Tottenham,16,850,1,0,1.6,1,13,4
David Odogu,18,DF,Wolfsburg,3,195,0,0,0.2,0,2,0
Álvaro Odriozola,28,DF,Real Sociedad,2,43,0,0,0,0,0,0
Tim Oermann,20,DF,Bochum,29,2213,0,2,0.2,0.6,9,0
Chiedozie Ogbene,27,FW,Ipswich Town,5,238,0,0,0,0.1,0,0
Ifechukwu Ogbus,18,DF,Freiburg,2,19,0,0,0,0,0,0
Thiago Ojeda,21,MF,Villarreal,1,8,0,0,0,0,1,0
Hamzat Ojediran,20,"MF,FW",Lens,17,416,1,0,0.6,0.4,10,3
Noah Okafor,24,FW,Milan,11,414,1,0,1.5,0.3,13,7
Noah Okafor,24,"FW,MF",Napoli,4,40,0,0,0,0.6,1,0
Caleb Okoli,23,DF,Leicester City,19,1125,1,0,0.6,0,4,2
Yllan Okou,21,DF,Hellas Verona,1,2,0,0,0,0,0,0
Maduka Okoye,24,GK,Udinese,25,2250,0,0,0,0,0,0
Joseph Okumu,27,DF,Reims,22,1695,1,0,1,0.1,12,2
Aingeru Olabarrieta,18,FW,Athletic Club,1,54,0,0,0,0,0,0
Kazeem Olaigbe,21,"MF,FW",Rennes,10,299,0,2,0.3,1.9,6,2
Olasagasti,23,MF,Real Sociedad,22,857,1,1,0.9,0.8,13,2
Ben Old,21,"FW,MF",Saint-Étienne,13,528,0,0,1,0.8,11,2
Finn Ole Becker,24,MF,Hoffenheim,13,670,0,1,0.1,0.3,4,2
Michael Olise,22,"FW,MF",Bayern Munich,34,2334,12,15,9.7,12,86,36
Brian Oliván,30,DF,Espanyol,17,1017,0,1,0.4,1.1,6,1
Lucas Oliveira Rosa,24,DF,Valladolid,21,1890,0,1,0.9,2,8,3
Mathías Olivera,26,DF,Napoli,32,2370,0,2,1.1,1.7,16,2
Dani Olmo,26,"MF,FW",Barcelona,25,1212,10,3,6.5,3,40,15
Robin Olsen,34,GK,Aston Villa,4,226,0,0,0,0,0,0
Warmed Omari,24,DF,Lyon,1,8,0,0,0,0,0,0
Becir Omeragic,22,DF,Montpellier,22,1799,0,0,0.3,0.1,7,3
Jonas Omlin,30,GK,Gladbach,12,978,0,0,0,0,0,0
Andrew Omobamidele,22,DF,Strasbourg,10,539,0,0,0,0,0,0
Ado Onaiwu,28,"MF,FW",Auxerre,31,957,4,1,4,1.1,23,14
Amadou Onana,22,MF,Aston Villa,26,1617,3,0,2.1,0.7,17,6
André Onana,28,GK,Manchester Utd,34,3060,0,0,0,0.2,0,0
Jean Onana,24,MF,Genoa,9,304,0,0,0,0.1,1,0
Jacob Ondrejka,21,"MF,FW",Parma,12,422,5,0,1.3,0.6,14,10
Karim Onisiwo,32,"MF,FW",Mainz 05,6,110,0,0,0.1,0.3,3,0
Paul Onuachu,30,FW,Southampton,25,1050,4,1,3.6,0.5,34,15
Frank Onyeka,26,MF,Brentford,2,25,0,0,0,0,0,0
Frank Onyeka,26,MF,Augsburg,31,2586,0,1,1.4,1.3,24,6
Loïs Openda,24,"FW,MF",RB Leipzig,33,2453,9,5,9,3.4,77,31
Christopher Operi,27,"DF,FW",Le Havre,13,1169,0,2,0.3,2.2,7,1
Fredrik Oppegard,21,DF,Auxerre,9,273,0,0,0.1,0.1,3,1
Victor Orakpo,18,FW,Nice,4,36,0,0,0.3,0,2,0
Ike Orazi,17,MF,Reims,1,3,0,0,0,0,0,0
Gift Orban,22,"FW,DF",Lyon,3,186,2,0,1.2,0,4,3
Gift Orban,22,FW,Hoffenheim,13,687,4,0,3.4,0.2,11,4
Willi Orban,31,DF,RB Leipzig,25,2222,5,0,4,1,22,7
Ivan Ordets,32,DF,Bochum,22,1861,0,0,0.7,0.7,11,0
Lewis Orford,18,MF,West Ham,2,49,0,0,0,0,1,0
Gaetano Oristanio,21,"FW,MF",Venezia,37,2315,3,3,4.1,2.6,44,12
Aimar Oroz,22,MF,Osasuna,37,2966,5,4,4.2,2.9,47,15
Riccardo Orsolini,27,FW,Bologna,30,1878,15,4,10.1,3.7,72,25
Stefan Ortega,31,GK,Manchester City,13,1100,0,0,0,0,0,0
Ángel Ortíz,20,DF,Betis,5,353,0,1,0,0.1,2,0
Gabriel Osei Misehouy,19,"FW,MF",Girona,9,257,1,0,0.9,0.3,6,2
Gabriel Osho,25,DF,Auxerre,20,1654,1,0,1,0.1,7,3
Yordan Osorio,30,DF,Parma,3,172,0,0,0,0.1,1,0
Patrick Osterhage,24,MF,Freiburg,30,2267,1,0,1.7,1.4,21,3
William Osula,20,FW,Newcastle Utd,14,134,1,0,0.2,0.1,4,1
Jibril Othman,20,FW,Saint-Étienne,1,5,0,0,0,0,0,0
Sebastian Otoa,20,DF,Genoa,3,179,0,0,0,0,0,0
David Otorbi,16,MF,Valencia,1,14,0,0,0,0,0,0
Dango Ouattara,22,FW,Bournemouth,32,2005,7,4,8.4,5.5,62,20
Guimissongui Ouattara,18,"DF,FW",Strasbourg,17,471,1,1,0.3,0.5,5,2
Kassoum Ouattara,19,"DF,FW",Monaco,12,391,0,1,0.2,1.2,2,1
Remi Oudin,27,"MF,FW",Lecce,11,299,0,0,0.1,0.6,3,1
Assan Ouedraogo,18,MF,RB Leipzig,3,50,0,0,0.1,0,1,0
Zinédine Ould Khaled,24,MF,Angers,10,343,0,0,0,0,1,1
Cheick Oumar Conde,24,MF,Venezia,9,151,0,0,0,0,1,0
Jesús Owono,23,GK,Alavés,6,487,0,0,0,0,0,0
Beres Owusu,20,DF,Saint-Étienne,1,90,0,0,0,0,0,0
Elisha Owusu,26,MF,Auxerre,28,2344,1,3,0.4,1,7,3
Mikel Oyarzabal,27,FW,Real Sociedad,35,2250,9,3,9.9,2.4,39,13
Daniel Oyegoke,21,DF,Hellas Verona,5,103,0,0,0,0,1,0
Salih Özcan,26,MF,Wolfsburg,11,353,0,0,0.1,0.8,2,0
Salih Özcan,26,MF,Dortmund,11,391,0,0,0.3,0.4,4,0
Cenk Özkacar,23,DF,Valladolid,11,757,0,0,0.1,0,2,0
Nico O’Reilly,19,DF,Manchester City,9,528,2,0,1.3,0.4,8,3
Jon Pacheco,23,DF,Real Sociedad,14,854,0,0,0.1,0.1,1,0
Willian Pacho,22,DF,Paris S-G,28,2132,0,1,0.3,0.3,4,1
Daniele Padelli,38,GK,Udinese,1,90,0,0,0,0,0,0
Alex Padilla,20,GK,Athletic Club,5,321,0,0,0,0,0,0
Simone Pafundi,18,"MF,DF",Udinese,9,116,0,0,0.1,0.7,2,1
Exequiel Palacios,25,MF,Leverkusen,24,1155,1,6,1.5,2.3,13,8
Tomás Palacios,21,DF,Monza,8,446,0,0,0,0,1,0
Tomás Palacios,21,DF,Inter,2,11,0,0,0,0,0,0
Isaac Palazón Camacho,29,"MF,FW",Rayo Vallecano,35,2162,4,4,4.7,4.4,61,18
Alberto Paleari,31,GK,Torino,1,90,0,0,0,0,0,0
Marco Palestra,19,DF,Atalanta,9,222,0,0,0,0.2,0,0
João Palhinha,29,MF,Bayern Munich,17,673,0,0,0.7,0.2,10,3
Nicolas Pallois,36,DF,Nantes,26,2017,0,2,0.4,0.4,3,1
Matteo Palma,16,DF,Udinese,1,5,0,0,0,0,0,0
Alex Palmer,27,GK,Ipswich Town,13,1170,0,0,0,0,0,0
Cole Palmer,22,"MF,FW",Chelsea,37,3191,15,8,17.3,10.9,121,44
Emerson Palmieri,29,DF,West Ham,31,2113,2,1,2,1.5,16,7
Mats Pannewig,19,MF,Bochum,14,267,0,0,0.8,0.1,9,3
Lucas Paquetá,26,"MF,FW",West Ham,33,2380,4,0,5.3,3.1,39,3
Aitor Paredes,24,DF,Athletic Club,23,1812,3,0,2.3,0.1,6,3
Kevin Paredes,21,DF,Wolfsburg,2,123,0,1,0.4,0.1,4,0
Leandro Paredes,30,MF,Roma,22,1373,3,1,2.3,1.5,24,7
Daniel Parejo,35,MF,Villarreal,36,2273,3,3,2.5,1.8,12,2
Iago Parente,18,DF,Valladolid,1,71,0,0,0,0,0,0
Fabiano Parisi,23,"DF,MF",Fiorentina,25,1049,2,0,0.5,0.8,8,4
Thomas Partey,31,"MF,DF",Arsenal,35,2797,4,2,2.3,2.1,26,9
Mario Pašalić,29,MF,Atalanta,34,1967,3,4,6.6,3.3,45,11
Álvaro Pascual,22,FW,Sevilla,8,408,1,0,1.1,0,11,4
Felix Passlack,26,"DF,MF",Bochum,31,2334,1,6,1.3,3.9,26,6
Patric,31,DF,Lazio,10,607,1,0,1.1,0,2,1
Rui Patrício,36,GK,Atalanta,3,270,0,0,0,0,0,0
Nathan Patterson,22,DF,Everton,10,347,0,1,0.1,0.4,1,0
Benjamin Pavard,28,DF,Inter,23,1584,0,1,0.5,0.8,8,1
Aleksandar Pavlovic,20,MF,Bayern Munich,21,1451,1,0,0.6,0.2,9,4
Strahinja Pavlović,23,DF,Milan,24,1864,2,1,1.8,1.1,17,8
Leonardo Pavoletti,35,"FW,MF",Cagliari,26,445,2,0,2.7,1,18,7
Martín Payero,25,MF,Udinese,25,1381,1,1,1.2,1.3,31,5
Nicolas Pays,20,"FW,MF",Montpellier,9,447,0,0,1.3,0.1,11,1
Nicolás Paz,19,"MF,FW",Como,35,2687,6,8,9.3,6,109,37
Mads Pedersen,27,DF,Augsburg,7,235,0,0,0.1,0,2,0
Marcus Pedersen,24,DF,Torino,29,1362,0,0,0.6,0.4,8,3
Alfonso Pedraza,28,"DF,MF",Villarreal,12,460,0,2,0.5,1.4,5,2
Pedri,21,MF,Barcelona,37,2879,4,5,2.2,7.4,25,11
Pedro,37,"FW,MF",Lazio,30,1102,10,1,5.3,1.7,37,16
Kévin Pedro,18,DF,Saint-Étienne,1,10,0,0,0,0,0,0
Adrià Pedrosa,26,DF,Sevilla,31,2298,1,1,0.9,1.6,24,7
Jordan Pefok,28,FW,Reims,7,380,1,0,0.9,0.7,11,2
Jordan Pefok,28,FW,Union Berlin,18,908,0,1,3.2,0.9,23,7
Pejiño,28,FW,Las Palmas,1,16,0,0,0,0,1,0
Pietro Pellegri,23,FW,Empoli,11,414,3,0,0.3,0.6,8,4
Lorenzo Pellegrini,28,MF,Roma,25,1626,2,1,4.7,2.5,41,13
Luca Pellegrini,25,DF,Lazio,22,1067,0,4,0.7,1.8,13,4
Mateo Pellegrino,23,FW,Parma,13,737,3,1,3.3,0.7,22,9
Théo Pellenard,30,DF,Auxerre,2,45,0,0,0,0,0,0
Andy Pelmard,24,DF,Lecce,3,129,0,0,0,0,0,0
Andy Pelmard,24,DF,Las Palmas,4,205,0,0,0,0,1,0
Timothee Pembele,21,DF,Le Havre,20,1113,1,0,1.3,0.1,8,3
Faris Pemi Moumbagna,24,FW,Marseille,1,8,0,0,0,0,0,0
Iñaki Peña,25,GK,Barcelona,16,1396,0,0,0,0,0,0
Rubén Peña,33,"FW,DF",Osasuna,25,775,0,0,0.7,0.6,10,3
Nicolas Pépé,29,"FW,MF",Villarreal,28,1500,3,6,3.8,4.8,38,17
Peque,21,"MF,FW",Sevilla,26,1134,1,1,2.5,1.2,19,4
Sergiu Perciun,18,"FW,MF",Torino,5,152,0,0,0,0.1,2,1
Óscar Perea,18,"MF,DF",Strasbourg,2,14,0,0,0,0,1,0
Andreas Pereira,28,MF,Fulham,33,2013,2,4,3.8,4.6,38,8
Mathias Pereira Lage,27,"FW,MF",Brest,29,1571,2,7,3.3,3.5,36,15
Pedro Pereira,26,DF,Monza,35,2665,1,3,1.2,1.6,13,6
Ricardo Pereira,30,DF,Leicester City,10,388,0,0,0.1,0,2,1
Gastón Pereiro,29,MF,Genoa,2,31,0,0,0,0,0,0
Daniel Peretz,24,GK,Bayern Munich,3,270,0,0,0,0,0,0
Ayoze Pérez,31,FW,Villarreal,30,1970,19,2,12.7,3,75,31
Carles Pérez,26,"MF,FW",Getafe,27,1431,3,0,2.4,1.5,34,9
Francisco Perez,21,"FW,MF",Valencia,26,570,0,0,0.3,2.6,6,1
Kike Pérez,27,MF,Venezia,16,1114,1,0,0.9,1.2,13,7
Kike Pérez,27,MF,Valladolid,19,1191,2,0,2.1,1,20,4
Luis Pérez,29,DF,Valladolid,30,2558,0,0,0.2,2.1,5,2
Nehuén Pérez,24,DF,Udinese,2,180,0,0,0,0,0,0
Simone Perilli,29,GK,Hellas Verona,2,180,0,0,0,0,0,0
Mattia Perin,31,GK,Juventus,5,450,0,0,0,0,0,0
Romain Perraud,26,DF,Betis,28,2002,2,2,0.6,1.6,20,5
Lucas Perri,26,GK,Lyon,33,2970,0,0,0,0,0,0
Gaëtan Perrin,28,"MF,FW",Auxerre,34,2691,10,11,6.1,7.8,59,26
Máximo Perrone,21,MF,Como,26,1857,0,3,0.9,2.2,10,2
Noah Pesch,19,FW,Gladbach,1,6,0,0,0,0,0,0
Matteo Pessina,27,MF,Monza,11,854,0,0,0.2,0.1,3,0
Andrea Petagna,29,FW,Monza,13,335,0,0,0.2,0,4,0
Prosper Peter,16,"MF,FW",Angers,2,27,0,0,0,0,0,0
Léo Pétrot,27,DF,Saint-Étienne,31,2634,0,3,0.6,1.6,7,3
Đorđe Petrović,24,GK,Strasbourg,31,2790,0,0,0,0,0,0
Giuseppe Pezzella,26,"DF,FW",Empoli,35,2878,0,3,0.6,4.6,15,3
Valentín Pezzolesi,17,DF,Las Palmas,1,6,0,0,0,0,0,0
Luca Philipp,23,GK,Hoffenheim,6,540,0,0,0,0,0,0
Maximilian Philipp,30,"MF,FW",Freiburg,2,17,0,0,0,0,1,0
Kalvin Phillips,28,MF,Ipswich Town,19,1237,0,0,0.4,0.2,11,2
Jaden Philogene Bidace,22,"FW,MF",Aston Villa,11,332,0,0,0.5,0.3,7,0
Jaden Philogene Bidace,22,"FW,DF",Ipswich Town,10,474,2,0,2,0.2,12,5
Pica,22,DF,Alavés,9,499,0,0,0.3,0,4,1
Roberto Piccoli,23,FW,Cagliari,37,3127,10,1,12.7,0.9,97,28
Benedikt Pichler,27,FW,Holstein Kiel,18,785,1,2,2.3,1.1,20,9
Jordan Pickford,30,GK,Everton,38,3420,0,1,0,0.4,0,0
Amos Pieper,26,DF,Werder Bremen,23,1498,0,0,0.4,0.6,7,1
Marvin Pieringer,24,"FW,MF",Heidenheim,31,2206,7,4,8.9,4,57,17
Nicholas Pierini,25,MF,Venezia,2,83,0,0,0,0.1,1,0
Santiago Pierotti,23,FW,Lecce,36,1937,4,2,3.1,2.4,32,7
Balthazar Pierret,24,MF,Lecce,30,1723,0,0,0.2,0.4,6,0
Andrea Pinamonti,25,FW,Genoa,36,2850,10,1,7.7,1.7,78,29
Ethan Pinnock,31,DF,Brentford,22,1913,2,0,1.1,1.2,10,6
Yeremi Pino,21,"MF,FW",Villarreal,34,1934,4,7,3.9,5.3,29,8
Nicola Pintus,19,DF,Cagliari,1,4,0,0,0,0,0,0
Niccolò Pisilli,19,MF,Roma,28,1227,2,1,2.7,0.7,27,7
Damián Pizarro,19,"FW,MF",Udinese,2,16,0,0,0,0,0,0
Semuel Pizzignacco,22,GK,Monza,9,736,0,0,0,0,0,0
Alassane Pléa,31,"MF,FW",Gladbach,30,1902,11,4,7.4,3.1,41,12
Tommaso Pobega,25,MF,Bologna,21,1178,2,2,2.1,1.4,24,8
Daniel Podence,28,"MF,FW",Wolves,2,48,0,0,0,0,1,0
Joel Pohjanpalo,29,FW,Venezia,20,1603,6,0,7.5,1.7,34,13
Matteo Politano,30,"FW,MF",Napoli,37,2804,3,4,3.1,4.8,56,14
Alfie Pond,20,DF,Wolves,1,1,0,0,0,0,0,0
Marin Pongračić,26,DF,Fiorentina,19,1292,0,0,0.2,0.2,2,1
Nick Pope,32,GK,Newcastle Utd,28,2520,0,0,0,0,0,0
Finn Porath,27,"DF,MF",Holstein Kiel,31,1970,2,3,1.9,2,29,12
Pedro Porro,24,DF,Tottenham,33,2610,2,6,1.6,5,39,8
Portu,32,"FW,MF",Girona,27,779,1,2,1.6,1.7,8,3
Stefan Posch,27,DF,Bologna,14,714,0,0,0.3,0.7,2,0
Stefan Posch,27,DF,Atalanta,5,387,0,0,0.2,0,3,2
Tom Pouilly,21,"DF,MF",Lens,10,273,0,0,0.4,0.4,5,2
Yussuf Poulsen,30,"FW,MF",RB Leipzig,22,378,2,0,3.3,0.6,15,8
Beñat Prados,23,MF,Athletic Club,30,1715,1,0,1,1.1,16,5
Alexander Prass,23,DF,Hoffenheim,23,1566,0,1,0.9,2.8,12,1
Matteo Prati,20,MF,Cagliari,12,570,0,0,0.1,0.7,4,0
Abdón Prats,31,"FW,MF",Mallorca,24,456,2,0,2.2,0.1,13,4
David Preu,19,"MF,DF",Union Berlin,5,121,0,0,0.1,0,2,0
Grischa Prömel,29,MF,Hoffenheim,2,174,0,0,0,0,0,0
Ivan Provedel,30,GK,Lazio,29,2610,0,0,0,0.3,0,0
Ivan Prtajin,28,FW,Union Berlin,5,161,0,0,0.5,0.1,8,2
Javi Puado,26,"FW,MF",Espanyol,35,2974,12,4,11.6,3,66,19
Tymoteusz Puchacz,25,DF,Holstein Kiel,10,396,0,1,0.1,0.6,4,1
Diego Pugno,18,FW,Juventus,1,7,0,0,0,0.1,0,0
Christian Pulisic,25,"FW,MF",Milan,34,2478,11,9,12,6.4,53,20
Jarell Quansah,21,DF,Liverpool,13,495,0,0,0.1,0.1,1,0
Leopold Querfeld,20,DF,Union Berlin,27,1747,2,2,1.1,1,16,4
Dani Raba,28,"FW,MF",Leganés,29,1879,8,6,7.5,5.3,39,12
Adrien Rabiot,29,MF,Marseille,29,2485,9,4,7.3,3.8,48,22
Ionuț Radu,27,GK,Venezia,15,1350,0,0,0,0,0,0
Hamza Rafia,25,MF,Lecce,18,1058,0,0,0.5,1.4,10,2
Hákon Rafn Valdimarsson,22,GK,Brentford,2,145,0,0,0,0,0,0
Arnau Rafús,21,GK,Valladolid,1,90,0,0,0,0,0,0
Antonio Raillo,32,DF,Mallorca,36,3207,2,0,2,1.6,35,8
Antonio Raimondo,20,"FW,DF",Venezia,9,94,0,0,0.3,0.1,1,1
Ylber Ramadani,28,MF,Lecce,29,1807,1,1,0.6,1.1,17,6
Benito Ramírez,29,"DF,FW",Las Palmas,19,478,0,0,0.3,0.9,10,1
Sandro Ramírez,29,"FW,MF",Las Palmas,31,2034,9,3,4.1,3.4,51,20
Jacobo Ramón,19,DF,Real Madrid,3,204,1,0,0.2,0.2,2,1
Gonçalo Ramos,23,FW,Paris S-G,22,1066,10,3,13.6,2.2,52,29
Aaron Ramsdale,26,GK,Southampton,30,2700,0,0,0,0,0,0
Jacob Ramsey,23,"FW,MF",Aston Villa,29,1623,1,3,1.6,2.3,19,4
Luca Ranieri,25,DF,Fiorentina,35,2981,0,3,1.1,1.7,10,4
Grant Ranos,21,FW,Gladbach,2,20,0,0,0,0,0,0
Lilian Raolisoa,24,"DF,FW",Angers,29,1318,0,3,0.7,2,14,1
Raphinha,27,"FW,MF",Barcelona,36,2839,18,9,19.2,12.7,112,40
Marcus Rashford,26,"FW,MF",Manchester Utd,15,978,4,1,1.7,2.1,16,9
Marcus Rashford,26,FW,Aston Villa,10,444,2,2,3.1,2.3,18,5
Giacomo Raspadori,24,"FW,MF",Napoli,26,1103,6,1,4,2.4,42,14
Andrei Ratiu,26,DF,Rayo Vallecano,35,3065,2,3,1.8,5.7,31,7
Raúl,23,"FW,MF",Osasuna,32,750,4,0,3.5,0.7,25,12
David Raum,26,DF,RB Leipzig,22,1783,1,5,0.5,6.5,9,4
Federico Ravaglia,24,GK,Bologna,12,1056,0,0,0,0,0,0
Rayan Raveloson,27,"MF,DF",Auxerre,13,724,1,0,0.8,0.2,16,5
David Raya,28,GK,Arsenal,38,3420,0,0,0,0,0,0
Abderrahman Rebbach,25,"FW,MF",Alavés,8,385,0,0,0.2,0.3,6,1
Ante Rebić,30,"FW,MF",Lecce,27,788,1,0,2.1,2.1,13,5
Harrison Reed,29,MF,Fulham,12,108,0,0,0.2,0.1,3,2
Remy Rees-Dottin,18,FW,Bournemouth,1,1,0,0,0,0,0,0
Sergio Reguilón,27,DF,Tottenham,4,196,0,0,0.1,0,2,0
Tijjani Reijnders,26,MF,Milan,37,3128,10,4,7.5,3.5,77,28
Pepe Reina,41,GK,Como,12,1034,0,0,0,0,0,0
Vitor Reis,18,DF,Manchester City,1,1,0,0,0,0,0,0
Rocco Reitz,22,MF,Gladbach,27,1830,2,1,1.7,2.1,23,7
Nicolai Remberg,24,MF,Holstein Kiel,32,2417,0,1,1.5,0.8,24,2
Álex Remiro,29,GK,Real Sociedad,36,3240,0,0,0,0,0,0
